query_id,category,intra_jaccard_mean,intra_jaccard_std,inter_jaccard_mean,inter_jaccard_std,n_intra_pairs,n_inter_pairs
Q01,b2b_saas,0.7913852813852814,0.25391167381022905,0.7418181818181818,0.1373218856391147,110,55
Q02,b2b_saas,0.7009848484848485,0.2590886010468358,0.4415584415584415,0.19340221097394422,110,55
Q03,b2b_saas,0.6528787878787878,0.2779183700916506,0.34742424242424236,0.21004041041483837,110,55
Q04,b2b_saas,0.6714331627967991,0.3270293596694626,0.6645454545454547,0.20572744903736026,110,55
Q05,b2b_saas,0.5199639249639251,0.30111004400249586,0.2578787878787878,0.11183088394140638,110,55
Q06,healthcare_wellness,0.5892316017316017,0.2819542626100361,0.4153679653679653,0.19063025056585725,110,55
Q07,healthcare_wellness,0.6139069264069263,0.2896348939170305,0.4914935064935064,0.1705086576651953,110,55
Q08,healthcare_wellness,0.4978030303030303,0.3444042470163594,0.1622943722943723,0.17392172363641656,110,55
Q09,healthcare_wellness,0.51183917093008,0.31432308409466697,0.08580086580086578,0.14771848601431542,110,55
Q10,healthcare_wellness,0.6321753246753247,0.2974325892789466,0.3403968253968255,0.22897155384118933,110,55
Q11,consumer_electronics,0.6009090909090908,0.3557256849269349,0.19056277056277057,0.22922793688672233,110,55
Q12,consumer_electronics,0.4256536140627049,0.3073048996699914,0.12822510822510824,0.14804255558673055,110,55
Q13,consumer_electronics,0.5044155844155843,0.3596489040653206,0.11727272727272726,0.16817390098754936,110,55
Q14,consumer_electronics,0.49407287157287155,0.3860860960905314,0.059199134199134196,0.11672373693487179,110,55
Q15,consumer_electronics,0.4271412173684901,0.3228697217565463,0.15119047619047618,0.1670101250480711,110,55
Q16,local_services,0.1552963450690723,0.2349038271644164,0.18181818181818182,0.38569460791993504,110,55
Q17,local_services,0.575974025974026,0.3253934890388017,0.22735930735930732,0.19135235324825556,110,55
Q18,local_services,0.319663113179156,0.2791729121897043,0.07999999999999999,0.16848702854486688,110,55
Q19,local_services,0.17609094520577773,0.20838802521368718,0.06077922077922077,0.16871521159416594,110,55
Q20,local_services,0.35552022351417234,0.4138372521638343,0.18787878787878787,0.3854088023172035,110,55
Q21,financial_services,0.500325987144169,0.3236713873424604,0.16718089990817261,0.1464128828426232,110,55
Q22,financial_services,0.5424683649683649,0.3114486199120949,0.424069264069264,0.26355703638102285,110,55
Q23,financial_services,0.5631529581529582,0.3338939739826363,0.34836940836940833,0.24104920411011815,110,55
Q24,financial_services,0.5785048181171175,0.3323444710942844,0.3658513708513707,0.2210190892019184,110,55
Q25,financial_services,0.5785930735930737,0.32240420242890816,0.31810245310245305,0.2631937049626478,110,55
Q26,cpg,0.46953463203463214,0.35766248737457934,0.16287878787878782,0.17416660984057375,110,55
Q27,cpg,0.5095205299750756,0.3504659600449751,0.10145021645021644,0.13892230515718523,110,55
Q28,cpg,0.5447582972582974,0.33218213693756987,0.3166378066378066,0.20628407861313067,110,55
Q29,cpg,0.3258080808080807,0.3243002584291207,0.07424242424242423,0.17600557216323265,110,55
Q30,cpg,0.50995670995671,0.3706740006829879,0.1803030303030303,0.23320539585842331,110,55
Q31,enterprise_software,0.5467188114915389,0.3386391117936424,0.17699134199134195,0.15324241093300897,110,55
Q32,enterprise_software,0.6194408369408368,0.350360117208379,0.4434487734487735,0.25774096120439915,110,55
Q33,enterprise_software,0.778517316017316,0.2633005108183569,0.49478354978354977,0.2282282880340005,110,55
Q34,enterprise_software,0.7289538239538239,0.253073103001426,0.4945021645021644,0.2976399551884926,110,55
Q35,enterprise_software,0.6682982421618785,0.28603802182905574,0.4961904761904761,0.26394311087855943,110,55
Q36,travel_hospitality,0.8502272727272726,0.2504502488219691,0.6701298701298702,0.2031162188184573,110,55
Q37,travel_hospitality,0.48772477522477525,0.360765798681027,0.16792273383182474,0.2256971420190347,110,55
Q38,travel_hospitality,0.6737698412698412,0.29137619381549995,0.4200865800865801,0.2507660962965625,110,55
Q39,travel_hospitality,0.6190800865800865,0.3309226161165537,0.40322510822510826,0.2781275066457144,110,55
Q40,travel_hospitality,0.5318109668109667,0.3329872263793187,0.3239610389610389,0.31070520914787236,110,55
