query_id,category,kendalls_w,n_brands
Q01,b2b_saas,0.6614,6
Q02,b2b_saas,0.3315,11
Q03,b2b_saas,0.2422,12
Q04,b2b_saas,0.3999,8
Q05,b2b_saas,0.1418,17
Q06,healthcare_wellness,0.2802,12
Q07,healthcare_wellness,0.3599,9
Q08,healthcare_wellness,0.0715,10
Q09,healthcare_wellness,0.0212,24
Q10,healthcare_wellness,0.286,11
Q11,consumer_electronics,0.1232,11
Q12,consumer_electronics,0.1673,14
Q13,consumer_electronics,0.0359,12
Q14,consumer_electronics,0.0859,17
Q15,consumer_electronics,0.0431,17
Q16,local_services,0.0065,17
Q17,local_services,0.0654,10
Q18,local_services,0.0079,23
Q19,local_services,0.0097,17
Q20,local_services,0.0032,14
Q21,financial_services,0.0899,16
Q22,financial_services,0.411,8
Q23,financial_services,0.2307,11
Q24,financial_services,0.3581,10
Q25,financial_services,0.0931,17
Q26,cpg,0.0663,24
Q27,cpg,0.0629,13
Q28,cpg,0.1879,9
Q29,cpg,0.0524,17
Q30,cpg,0.1393,11
Q31,enterprise_software,0.1125,17
Q32,enterprise_software,0.3436,12
Q33,enterprise_software,0.5228,9
Q34,enterprise_software,0.3952,12
Q35,enterprise_software,0.3076,14
Q36,travel_hospitality,0.7243,7
Q37,travel_hospitality,0.0755,14
Q38,travel_hospitality,0.5598,10
Q39,travel_hospitality,0.2836,16
Q40,travel_hospitality,0.2087,10
